Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep) 
 06/01  02:40:00,18.2,20.6352663398038,20.392797067684,20.3949781734986,20.3849980085962,20.4278554262274,20.7466270389847 
 06/01  02:41:00,18.2,20.6317081172609,20.3926847007192,20.3949399264247,20.3849257282955,20.4274870436507,20.7453709306785 
 06/01  02:42:00,18.2,20.6281499277524,20.3925709625053,20.3949001430845,20.3848517012625,20.4271203701984,20.7441241774508 
 06/01  02:43:00,18.2,20.6245964814025,20.392455778201,20.3948587387681,20.3847758551472,20.4267553023465,20.742886455838 
 06/01  02:44:00,18.2,20.6210565336266,20.3923390920931,20.3948156484526,20.3846981366356,20.4263917528933,20.7416574577196 
 06/01  02:45:00,18.2,20.6175324715589,20.3922209091422,20.3947708678143,20.3846185519193,20.4260296923548,20.7404370081205 
 06/01  02:46:00,18.2,20.6140291607887,20.3921012326,20.3947243912115,20.3845371058653,20.4256690884113,20.7392249426477 
 06/01  02:47:00,18.2,20.6105461916237,20.3919801008531,20.3946762474681,20.3844538378073,20.4253099425968,20.7380211932826 
 06/01  02:48:00,18.2,20.6070868648693,20.3918575331065,20.394626446285,20.3843687686297,20.4249522370371,20.736825663687 
 06/01  02:49:00,18.2,20.603649905968,20.3917335742158,20.3945750223868,20.3842819443796,20.4245959786843,20.7356383258005 
 06/01  02:50:00,18.2,20.6002380155861,20.391608245256,20.394521986996,20.3841933881206,20.4242411508164,20.7344591065217 
 06/01  02:51:00,18.2,20.5968494926773,20.3914815904898,20.3944673741486,20.3841031456273,20.4238877594012,20.7332879912121 
 06/01  02:52:00,18.2,20.5934866368615,20.3913536295102,20.3944111937037,20.3840112387734,20.4235357861562,20.7321249152338 
 06/01  02:53:00,18.2,20.5901474914429,20.3912244040747,20.394353477491,20.3839177110999,20.4231852347572,20.7309698678346 
 06/01  02:54:00,18.2,20.5868340883687,20.3910939312948,20.3942942333179,20.3838225822292,20.4228360848891,20.7298227863224 
 06/01  02:55:00,18.2,20.583544342087,20.3909622498,20.3942334904291,20.3837258927864,20.4224883377515,20.7286836587527 
 06/01  02:56:00,18.2,20.5802801065938,20.3908293740261,20.3941712545735,20.3836276598885,20.4221419711523,20.7275524208237 
 06/01  02:57:00,18.2,20.5770392436301,20.3906953394839,20.3941075525628,20.3835279211996,20.421796984098,20.7264290568438 
 06/01  02:58:00,18.2,20.573823481154,20.3905601581795,20.3940423884342,20.3834266915257,20.4214533529724,20.7253134993817 
 06/01  02:59:00,18.2,20.5706306721857,20.390423862837,20.3939757869658,20.383324005856,20.4211110750743,20.7242057280972 
 06/01  03:00:00,18.2,20.5674624502179,20.3902864634544,20.3939077509433,20.3832198770656,20.4207701258933,20.7231056720866 
 06/01  03:01:00,18.2016666666667,20.5643167080857,20.3901521598093,20.3938418671168,20.3831186746491,20.4204340669836,20.7220133155343 
 06/01  03:02:00,18.2033333333333,20.5611951706214,20.3900245490611,20.393781275164,20.3830241708471,20.4201060116023,20.7209285891008 
 06/01  03:03:00,18.205,20.5580959153994,20.3899049077921,20.3937270966353,20.3829377308515,20.4197870540967,20.7198514660743 
 06/01  03:04:00,18.2066666666667,20.555020533444,20.3897928028298,20.393678924065,20.3828589338988,20.4194767598301,20.7187818722064 
 06/01  03:05:00,18.2083333333333,20.5519669598015,20.3896871742382,20.3936357847419,20.3827866931865,20.4191741293232,20.717719777707 
 06/01  03:06:00,18.21,20.5489366152836,20.3895869159448,20.3935966666514,20.3827198656444,20.4188781242273,20.716665106749 
 06/01  03:07:00,18.2116666666667,20.5459274407129,20.3894911246066,20.3935607522383,20.3826575123097,20.4185879010206,20.7156178269737 
 06/01  03:08:00,18.2133333333333,20.5429408159227,20.3893990677261,20.3935273872492,20.3825988706619,20.4183027797829,20.7145778615759 
 06/01  03:09:00,18.215,20.5399747483949,20.3893101767385,20.3934960752452,20.382543346323,20.4180222386763,20.713545176632 
 06/01  03:10:00,18.2166666666667,20.537030591625,20.3892239685012,20.3934664006207,20.382490434586,20.4177458369468,20.7125196955509 
 06/01  03:11:00,18.2183333333333,20.5341064146202,20.3891400579834,20.3934380407135,20.3824397313725,20.4174732270314,20.7115013839287 
 06/01  03:12:00,18.22,20.5312035402914,20.3890581059554,20.3934107139338,20.3823908814587,20.4172041026811,20.7104901661539 
 06/01  03:13:00,18.2216666666667,20.5283200943224,20.3889778452627,20.393384205404,20.3823436034643,20.4169382245992,20.7094860078365 
 06/01  03:14:00,18.2233333333333,20.5254573693346,20.3888990360996,20.3933583229633,20.3822976458347,20.416675376441,20.7084888345594 
 06/01  03:15:00,18.225,20.5226135454542,20.3888214944577,20.3933329253045,20.3822528141055,20.4164153929491,20.7074986120439 
 06/01  03:16:00,18.2266666666667,20.5197898863753,20.3887450505863,20.3933078813448,20.3822089300845,20.4161581193198,20.7065152670314 
 06/01  03:17:00,18.2283333333333,20.516984624597,20.3886695785348,20.3932830995691,20.3821658602738,20.4159034405462,20.7055387653152 
 06/01  03:18:00,18.23,20.5141989963312,20.3885949574271,20.3932584902307,20.3821234778824,20.4156512436141,20.7045690346908 
 06/01  03:19:00,18.2316666666667,20.5114312843916,20.3885211017491,20.3932339954469,20.3820816920607,20.4154014475987,20.7036060409587 
 06/01  03:20:00,18.2333333333333,20.5086826990212,20.3884479248859,20.3932095536194,20.3820404121921,20.4151539680796,20.7026497128631 
 06/01  03:21:00,18.235,20.5059515713089,20.3883753696743,20.3931851297653,20.3819995774513,20.4149087474738,20.7017000161606 
 06/01  03:22:00,18.2366666666667,20.5032390870411,20.3883033737072,20.3931606816412,20.3819591228724,20.4146657211545,20.700756880462 
 06/01  03:23:00,18.2383333333333,20.5005436235335,20.3882318998204,20.3931361899698,20.381919008892,20.4144248476786,20.6998202714583 
 06/01  03:24:00,18.24,20.4978663435683,20.3881609028274,20.3931116259268,20.3818791888497,20.4141860762701,20.6988901195756 
 06/01  03:25:00,18.2416666666667,20.4952056686299,20.3880903597407,20.3930869810637,20.3818396383084,20.4139493767428,20.6979663904479 
 06/01  03:26:00,18.2433333333333,20.492562739857,20.3880202377008,20.3930622359288,20.3818003237491,20.4137147081176,20.6970490152957 
 06/01  03:27:00,18.245,20.4899360208474,20.3879505238115,20.3930373895688,20.3817612315394,20.4134820481251,20.6961379597309 
 06/01  03:28:00,18.2466666666667,20.4873266323457,20.3878811940924,20.3930124291219,20.3817223376478,20.4132513627938,20.6952331557719 
 06/01  03:29:00,18.2483333333333,20.4847330780282,20.3878122428545,20.3929873588341,20.3816836361847,20.4130226354679,20.6943345690637 
 06/01  03:30:00,18.25,20.4821564593763,20.3877436525503,20.3929621705038,20.3816451100055,20.4127958372473,20.6934421324444 
 06/01  03:31:00,18.2516666666667,20.4795953181479,20.3876754226505,20.3929368719816,20.381606758781,20.4125709554884,20.6925558116603 
 06/01  03:32:00,18.2533333333333,20.4770507375749,20.3876075402935,20.3929114583771,20.3815685703906,20.4123479650065,20.6916755404029 
 06/01  03:33:00,18.255,20.4745212955552,20.3875400086471,20.3928859400305,20.3815305485017,20.4121268560481,20.6908012845947 
 06/01  03:34:00,18.2566666666667,20.4720080579745,20.3874728182804,20.3928603144113,20.3814926846749,20.4119076061858,20.6899329788209 
 06/01  03:35:00,18.2583333333333,20.4695096370006,20.387405975007,20.3928345935642,20.3814549854467,20.4116902077643,20.6890705892574 
 06/01  03:36:00,18.26,20.4670270819757,20.3873394719187,20.3928087766432,20.3814174450851,20.4114746404311,20.6882140514253 
 06/01  03:37:00,18.2616666666667,20.4645590375504,20.3872733167154,20.3927828768408,20.3813800721785,20.4112608980653,20.6873633318287 
 06/01  03:38:00,18.2633333333333,20.4621065372388,20.3872075043501,20.3927568945123,20.3813428629917,20.4110489618989,20.6865183669655 
 06/01  03:39:00,18.265,20.4596682564783,20.3871420438571,20.3927308436011,20.3813058275694,20.4108388269422,20.6856791237387 
